Genetic_ID	Master_ID	Skeletal_code	Skeletal_element	Year_data	Publication	Method_for	Date_mean	Date_standard	Full_Date	Age_at	Group_ID	Locality	Political_Entity	Lat.	Long.	Pulldown_Strategy	Data_source	No._Libraries	1240k_coverage	SNPs_hit_1240k	SNPs_hit_HO	Molecular_Sex	Family_ID	Y_haplogroup_terminal	Y_haplogroup_ISOGG_curation	mtDNA_coverage	mtDNA_haplogroup	mtDNA_match	Damage_rate	Sex_ratio	Library_type	Libraries	ASSESSMENT	ASSESSMENT_WARNINGS	Unnamed:_35
I14200	I14200	50875-1291, Archer (Amesbury Archer)	tooth (molar)	2021	PattersonNature2021	Direct: IntCal20	4328	57	2470-2239 calBCE (3895±32 BP, OxA-13541)	35-45	England_BellBeaker_highEEF	England, Wiltshire, Amesbury Down	United Kingdom	51.168023	-1.7725402	Repulldown on 3.2M snpset	1240K	9	0.158	158917	84909	M	n/a (no relatives detected)	R-L151	R1b1a1b1a1a	445.927395	K1b1a	[0.983,0.995]	0.161	0.361991761	ds.half,ds.half,ss.half,ss.half,ss.half,ss.half,ss.half,ss.half,ss.half	S14200.Y1.E1.L1,S14200.Y1.E2.L1,S14200.Y1.E10.L1,S14200.Y1.E3.L1,S14200.Y1.E4.L1,S14200.Y1.E5.L1,S14200.Y1.E6.L1,S14200.Y1.E8.L1,S20156.Y1.E2.L1	PASS	..	
I2446	I2446	SK 8784 (YCF 95) (YFC 95)	tooth (molar)	2018	PattersonNature2021 (higher coverage of previously published individual in OlaldeNature2018)	Direct: IntCal20	4215	78	2454-2139 calBCE (3815±40 BP, OxA-8807)	..	England_BellBeaker_highWHG	England, Oxfordshire, Yarnton	United Kingdom	51.7977	-1.313464	Repulldown on 3.2M snpset	1240K	8	0.584082	476279	256919	F	n/a (no relatives detected)	n/a (female)	n/a (female)	200.40618	K1b1a1	[0.961,0.981]	0.122	0.022	ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half,ds.half	S2446.E2.L1,S2446.E1.L2,S2446.E2.L6,S2446.E2.L7,S2446.E2.L5,S2446.E2.L4,S2446.E2.L9,S2446.E2.L8	PASS	..	
I19043_old	I19043	GENLAB 320 (WD78 650)	tooth (molar)	2021	PattersonNature2021	Context: Archaeological - Period	2200	87	400-100 BCE	..	England_MIA_LIA_o1_lc	England, Hampshire, Winnall Down	United Kingdom	51.07	-1.29	Repulldown on 3.2M snpset	1240K	1	0.015	14802	7619	F	n/a (no relatives detected)	n/a (female)	n/a (female)	11.91	J1c1	[0.953,0.992]	0.066	0.013	ss.half	S19043.Y1.E1.L1	PASS	damage.ss.half=0.066	
I1770	I1770	BurialXI (SW 59, Cemetery, BurialXI)	petrous	2018	OlaldeNature2018	Context: Archaeological - Period	3950	231	2400-1600 BCE	..	England_BellBeaker	England, North Yorkshire, Staxton, Staxton Beacon	United Kingdom	54.201949	-0.434355	Repulldown on 3.2M snpset	1240K	1	0.778	483136	260908	F	n/a (no relatives detected)	n/a (female)	n/a (female)	69.4	U5b1d2	[0.964,0.981]	0.119	0.011	ds.half	S1770.E1.L1	PASS	..	
I2418	I2418	56240_6033 (NZA-32788, round barrow)	tooth	2018	OlaldeNature2018	Direct: IntCal20	4237	64	2452-2200 calBCE (3835±25 BP, NZA-32788)	30-40	England_BellBeaker	England, Wiltshire, Amesbury Down	United Kingdom	51.168023	-1.7725402	Repulldown on 3.2M snpset	1240K	1	1.411	656238	356865	F	n/a (no relatives detected)	n/a (female)	n/a (female)	735	K1a4a1	[0.997,1.000]	0.042	0.01	ds.half	S2418.E1.L1	PASS	damage.ds.half=0.042	
I2447	I2447	SK 8779 (YCF 95) (YFC 95)	petrous	2018	OlaldeNature2018	Direct: IntCal20	3938	46	2120-1898 calBCE (3625±25 BP, PSUAMS-2336)	..	England_BellBeaker	England, Oxfordshire, Yarnton	United Kingdom	51.7977	-1.313464	Repulldown on 3.2M snpset	1240K	2	5.541	892874	482979	M	n/a (no relatives detected)	R-DF13	R1b1a1b1a1a2c1	408.820086	K1a26	[0.986,0.997]	..	..	ds.half,ds.half	S2447.E2.L1,S2447.E1.L2	PASS	Xcontam=[0.006,0.016]	
I2450	I2450	SK 3036 (ABSRC00) (SK 3036, OXCMS: 1989.121.HB5)	petrous	2018	OlaldeNature2018	Direct (WARNING MISSING LAB CODE); IntCal20; R_combine	4248	70	2455-2200 calBCE (3838±30 BP) [R_combine: (3850±21 BP); (3841±40 BP, NZA-15865); (3834±45 BP, NZA-15866)]	..	England_BellBeaker	England, Oxfordshire, Abington, Spring Road cemetery	United Kingdom	51.68	-1.297	Repulldown on 3.2M snpset	1240K	2	6.834	903886	491255	F	n/a (no relatives detected)	n/a (female)	n/a (female)	680.502988	K1a1b1g	[0.969,0.988]	..	..	ds.half,ds.half	S2450.E2.L1,S2450.E1.L2	PASS	..	
I2452	I2452	BEDFM2009.12, feature F.66 skeleton 186	petrous	2018	OlaldeNature2018	Direct: IntCal20; R_combine	4052	49	2199-2032 calBCE (3715±23 BP) [R_combine: (3735±35 BP, Poz-83405); (3700±30 BP, Beta-444979)]	mature adult 	England_BellBeaker	England, South Derbyshire, Willington, Dairy Farm	United Kingdom	52.854	-1.565	Repulldown on 3.2M snpset	1240K	2	7.489	893553	486619	M	n/a (no relatives detected)	R-DF13	R1b1a1b1a1a2c1	475.138029	H1e1a	[0.979,0.994]	..	..	ds.half,ds.half	S2452.E1.L1,S2452.E2.L1	PASS	..	
I2453	I2453	CQWDO7, feature F.320 skeleton 1126	tooth (molar)	2018	OlaldeNature2018	Direct: IntCal20	4122	68	2290-2038 calBCE (3760±35 BP, Poz-83404)	..	England_BellBeaker	England, Lincolnshire, West Deeping	United Kingdom	52.67	-0.35	Repulldown on 3.2M snpset	1240K	2	0.958	600188	325406	M	n/a (no relatives detected)	R-DF13	R1b1a1b1a1a2c1	599.921661	K2a	[0.996,1]	..	..	ds.half,ds.half	S2453.E1.L1,S2453.E2.L1	PASS	..	
I2455	I2455	OVE08, feature F.1079 skeleton 5486	tooth	2018	OlaldeNature2018	Direct: IntCal20	3948	52	2128-1900 calBCE (3631±28 BP, OxA-24594)	mature adult 	England_BellBeaker	England, Needingworth Quarry, Over Narrows	United Kingdom	52.34	0.03	Repulldown on 3.2M snpset	1240K	2	0.118	120043	64210	F	n/a (no relatives detected)	n/a (female)	n/a (female)	955.246364	U5a2c3a	[0.995,1]	..	..	ds.half,ds.half	S2455.E1.L1,S2455.E2.L1	PASS	..	
