time	sample_size
30	1
41	1
42	44
43	1
44	4
45	1
46	3
47	1
48	12
49	5
50	9
51	34
52	2
63	1
65	3
66	1
68	7
69	3
70	6
71	2
72	6
73	17
74	8
75	8
76	8
77	25
78	20
79	50
80	32
81	5
82	3
83	10
84	2
85	2
86	5
87	6
88	2
89	2
90	2
91	5
92	9
93	2
99	1
100	7
101	4
103	6
104	4
105	3
107	1
108	4
110	4
111	1
112	1
114	2
115	3
116	4
117	2
118	3
119	1
120	3
121	1
122	6
124	1
125	1
127	1
129	1
130	1
131	1
132	1
133	2
134	6
135	4
136	1
137	1
138	2
139	1
140	4
141	7
142	4
143	2
144	4
145	3
146	2
147	3
148	4
149	2
150	3
151	8
153	1
154	2
